strong.past,target,target.av,weak.past,category2,listNum,durationMean,durationSD,index,peerRespTypLo,peerREGTypLo,peerRespTypHi,peerREGTypHi
strilt,strill,0.772277228,strilled,burnt,TWO,3.393382353,1.093703295,1,strilled,TRUE,strilled,TRUE
drurnt,drurn,0.747524752,drurned,burnt,TWO,3.222535211,0.991491976,2,drurned,TRUE,drurned,TRUE
chent,cheen,0.742574257,cheened,kept,TWO,3.333571429,0.820114937,3,cheened,TRUE,cheened,TRUE
zam,zim,0.732673267,zimmed,sang,TWO,3.504347826,1.201737074,4,zimmed,TRUE,zimmed,TRUE
rurnt,rurn,0.731343284,rurned,burnt,TWO,3.25,0.925781523,5,rurned,TRUE,rurned,TRUE
yilt,yill,0.717821782,yilled,burnt,TWO,3.4125,1.168625954,6,yilled,TRUE,yilled,TRUE
hurnt,hurn,0.712871287,hurned,burnt,TWO,3.240714286,0.839094269,7,hurned,TRUE,hurned,TRUE
plone,pline,0.712871287,plined,drove,TWO,3.285616438,0.845350004,8,plined,TRUE,plined,TRUE
fram,frim,0.707920792,frimmed,sang,TWO,3.383561644,0.956522013,9,frimmed,TRUE,frimmed,TRUE
splurnt,splurn,0.702970297,splurned,burnt,TWO,3.430555556,1.206074868,10,splurned,TRUE,splurned,TRUE
snent,sneen,0.698019802,sneened,kept,TWO,3.140140845,0.836643793,11,sneened,TRUE,sneened,TRUE
gemt,geem,0.693069307,geemed,kept,TWO,3.195833333,0.98032583,12,geemed,TRUE,geemed,TRUE
thurnt,thurn,0.693069307,thurned,burnt,TWO,3.401369863,1.159321299,13,thurned,TRUE,thurned,TRUE
trelt,trell,0.678217822,trelled,burnt,TWO,3.326470588,0.92286343,14,trelled,TRUE,trelled,TRUE
femt,feem,0.673267327,feemed,kept,TWO,3.25,1.012951839,15,feemed,TRUE,feemed,TRUE
lelt,lell,0.668316832,lelled,burnt,TWO,3.25,0.864308386,16,lelled,TRUE,lelled,TRUE
smilt,smill,0.668316832,smilled,burnt,TWO,3.287681159,1.119657438,17,smilt,FALSE,smilled,TRUE
zemt,zeem,0.663366337,zeemed,kept,TWO,3.295774648,0.990805822,18,zemt,FALSE,zeemed,TRUE
jone,jine,0.658415842,jined,drove,TWO,3.25942029,0.874149812,19,jone,FALSE,jined,TRUE
schmemt,schmeem,0.648514851,schmeemed,kept,TWO,3.342857143,1.039798117,20,schmemt,FALSE,schmeemed,TRUE
stelt,stell,0.643564356,stelled,burnt,TWO,3.185,0.775828216,21,stelt,FALSE,stelled,TRUE
mang,ming,0.638613861,minged,sang,TWO,3.204225352,0.867374795,22,mang,FALSE,minged,TRUE
drent,dreen,0.633663366,dreened,kept,TWO,3.368181818,1.025581875,23,drent,FALSE,dreened,TRUE
sprelt,sprell,0.628712871,sprelled,burnt,TWO,3.305714286,0.994387979,24,sprelt,FALSE,sprelled,TRUE
jank,jink,0.613861386,jinked,sang,TWO,3.202205882,0.879383851,25,jank,FALSE,jinked,TRUE
trone,trine,0.613861386,trined,drove,TWO,3.110714286,0.690142437,26,trone,FALSE,trined,TRUE
gove,geeve,0.599009901,geeved,drove,TWO,3.194285714,0.731909497,27,gove,FALSE,geeved,TRUE
glang,gling,0.584158416,glinged,sang,TWO,3.315942029,0.920217875,28,glang,FALSE,glinged,TRUE
quank,quink,0.569306931,quinked,sang,TWO,3.405633803,1.225751935,29,quank,FALSE,quinked,TRUE
grelt,greel,0.562189055,greeled,kept,TWO,3.296428571,0.927999306,30,grelt,FALSE,greeled,TRUE
strone,strine,0.559405941,strined,drove,TWO,3.333571429,0.957870579,31,strone,FALSE,strined,TRUE
twelt,twell,0.559405941,twelled,burnt,TWO,3.359859155,0.938639582,32,twelt,FALSE,twelled,TRUE
chelt,cheel,0.544554455,cheeled,kept,TWO,3.383823529,1.050850444,33,chelt,FALSE,cheeled,TRUE
twam,twim,0.53960396,twimmed,sang,TWO,3.167605634,0.871578969,34,twam,FALSE,twimmed,TRUE
blode,blide,0.514851485,blided,drove,TWO,3.306521739,0.950731647,35,blode,FALSE,blided,TRUE
grang,gring,0.514851485,gringed,sang,TWO,3.314084507,0.939725762,36,grang,FALSE,gringed,TRUE
strelt,streel,0.50990099,streeled,kept,TWO,3.365753425,1.101289544,37,strelt,FALSE,strelt,FALSE
