strong.past,target,target.av,weak.past,category2,listNum,durationMean,durationSD,index,peerRespTypLo,peerREGTypLo,peerRespTypHi,peerREGTypHi
slove,slive,0.49009901,slived,drove,TWO,3.155797101,0.662078736,38,slove,FALSE,slove,FALSE
splank,splink,0.49009901,splinked,sang,TWO,3.297101449,0.999039394,39,splank,FALSE,splank,FALSE
swelt,sweel,0.475247525,sweeled,kept,TWO,3.259285714,0.974169764,40,swelt,FALSE,swelt,FALSE
quode,quide,0.47029703,quided,drove,TWO,3.448611111,0.97355788,41,quode,FALSE,quode,FALSE
shrang,shring,0.46039604,shringed,sang,TWO,3.268309859,0.944958028,42,shrang,FALSE,shrang,FALSE
snang,sning,0.455445545,sninged,sang,TWO,3.303424658,0.911246428,43,snang,FALSE,snang,FALSE
schmote,schmite,0.45049505,schmited,drove,TWO,3.25915493,0.875471704,44,schmote,FALSE,schmote,FALSE
zept,zeep,0.440594059,zeeped,kept,TWO,3.457638889,1.169014865,45,zept,FALSE,zept,FALSE
dwank,dwink,0.430693069,dwinked,sang,TWO,3.482142857,1.150237396,46,dwank,FALSE,dwank,FALSE
snept,sneep,0.430693069,sneeped,kept,TWO,3.105555556,0.628801428,47,snept,FALSE,snept,FALSE
splove,splive,0.420792079,splived,drove,TWO,3.325362319,0.867324452,48,splove,FALSE,splove,FALSE
thrang,thring,0.410891089,thringed,sang,TWO,3.369014085,1.15916738,49,thrang,FALSE,thrang,FALSE
yode,yide,0.400990099,yided,drove,TWO,3.313194444,0.994845627,50,yode,FALSE,yode,FALSE
throde,thride,0.376237624,thrided,drove,TWO,3.374264706,1.205661169,51,throde,FALSE,throde,FALSE
vrote,vrite,0.366336634,vrited,drove,TWO,3.269117647,0.876902172,52,vrote,FALSE,vrote,FALSE
