strong.past,target,target.av,weak.past,category2,listNum,durationMean,durationSD,index,peerRespTypLo,peerREGTypLo,peerRespTypHi,peerREGTypHi
slone,sline,0.613861386,slined,drove,THREE,3.532236842,1.239373604,26,slone,FALSE,slined,TRUE
glank,glink,0.608910891,glinked,sang,THREE,3.319333333,1.143811,27,glank,FALSE,glinked,TRUE
chote,chite,0.579207921,chited,drove,THREE,3.205479452,0.940248255,28,chote,FALSE,chited,TRUE
smam,smim,0.579207921,smimmed,sang,THREE,3.076666667,0.568802282,29,smam,FALSE,smimmed,TRUE
plelt,pleel,0.574257426,pleeled,kept,THREE,3.325974026,1.016722365,30,plelt,FALSE,pleeled,TRUE
brurnt,brurn,0.554455446,brurned,burnt,THREE,3.130263158,0.847233889,31,brurnt,FALSE,brurned,TRUE
klote,klite,0.554455446,klited,drove,THREE,3.25,0.943756153,32,klote,FALSE,klited,TRUE
brept,breep,0.54950495,breeped,kept,THREE,3.381756757,1.308784188,33,brept,FALSE,breeped,TRUE
zote,zite,0.53960396,zited,drove,THREE,3.206666667,0.889781834,34,zote,FALSE,zited,TRUE
skang,sking,0.51980198,skinged,sang,THREE,3.223287671,0.730253105,35,skang,FALSE,skinged,TRUE
squept,squeep,0.51980198,squeeped,kept,THREE,3.232894737,0.906736001,36,squept,FALSE,squeeped,TRUE
dwam,dwim,0.514851485,dwimmed,sang,THREE,3.164473684,0.927427114,37,dwam,FALSE,dwam,FALSE
squote,squite,0.504950495,squited,drove,THREE,3.172,0.784961696,38,squote,FALSE,squote,FALSE
thelt,theel,0.495049505,theeled,kept,THREE,3.232432432,0.893524361,39,thelt,FALSE,thelt,FALSE
trank,trink,0.49009901,trinked,sang,THREE,3.276,0.976111979,40,trank,FALSE,trank,FALSE
splode,splide,0.475247525,splided,drove,THREE,3.301315789,0.778287594,41,splode,FALSE,splode,FALSE
prang,pring,0.465346535,pringed,sang,THREE,3.143150685,0.803521549,42,prang,FALSE,prang,FALSE
shrept,shreep,0.46039604,shreeped,kept,THREE,3.182467532,0.85392924,43,shrept,FALSE,shrept,FALSE
shang,shing,0.45049505,shinged,sang,THREE,3.109459459,0.821278475,44,shang,FALSE,shang,FALSE
twote,twite,0.445544554,twited,drove,THREE,3.346621622,0.910905431,45,twote,FALSE,twote,FALSE
strote,strite,0.425742574,strited,drove,THREE,3.027631579,0.632897819,46,strote,FALSE,strote,FALSE
snank,snink,0.420792079,sninked,sang,THREE,3.164473684,0.603645359,47,snank,FALSE,snank,FALSE
thept,theep,0.415841584,theeped,kept,THREE,3.076666667,0.670182172,48,thept,FALSE,thept,FALSE
squode,squide,0.405940594,squided,drove,THREE,3.310666667,1.095885836,49,squode,FALSE,squode,FALSE
spang,sping,0.400990099,spinged,sang,THREE,3.143150685,0.74280414,50,spang,FALSE,spang,FALSE
brove,brive,0.391089109,brived,drove,THREE,3.17972973,0.844195285,51,brove,FALSE,brove,FALSE
swode,swide,0.356435644,swided,drove,THREE,3.372463768,1.041405168,52,swode,FALSE,swode,FALSE
