strong.past,target,target.av,weak.past,category2,listNum,durationMean,durationSD,index,peerRespTypLo,peerREGTypLo,peerRespTypHi,peerREGTypHi
vrilt,vrill,0.772277228,vrilled,burnt,THREE,3.158450704,0.731240918,1,vrilled,TRUE,vrilled,TRUE
cham,chim,0.742574257,chimmed,sang,THREE,3.355405405,1.00367706,2,chimmed,TRUE,chimmed,TRUE
skrilt,skrill,0.732673267,skrilled,burnt,THREE,3.285616438,1.049718198,3,skrilled,TRUE,skrilled,TRUE
jemt,jeem,0.722772277,jeemed,kept,THREE,3.180666667,0.796609934,4,jeemed,TRUE,jeemed,TRUE
swurnt,swurn,0.722772277,swurned,burnt,THREE,3.163333333,1.070372925,5,swurned,TRUE,swurned,TRUE
jurnt,jurn,0.717821782,jurned,burnt,THREE,3.094,0.71555875,6,jurned,TRUE,jurned,TRUE
snemt,sneem,0.712871287,sneemed,kept,THREE,3.189333333,0.685678463,7,sneemed,TRUE,sneemed,TRUE
gurnt,gurn,0.707920792,gurned,burnt,THREE,3.068,0.851931034,8,gurned,TRUE,gurned,TRUE
schmone,schmine,0.702970297,schmined,drove,THREE,3.223287671,0.842206188,9,schmined,TRUE,schmined,TRUE
slurnt,slurn,0.698019802,slurned,burnt,THREE,3.109459459,0.656822763,10,slurned,TRUE,slurned,TRUE
klilt,klill,0.693069307,klilled,burnt,THREE,3.328,1.007882447,11,klilled,TRUE,klilled,TRUE
prurnt,prurn,0.688118812,prurned,burnt,THREE,3.232666667,0.912839842,12,prurned,TRUE,prurned,TRUE
skent,skeen,0.688118812,skeened,kept,THREE,3.24109589,0.909568826,13,skeened,TRUE,skeened,TRUE
krent,kreen,0.683168317,kreened,kept,THREE,3.206666667,0.939714352,14,kreened,TRUE,kreened,TRUE
thram,thrim,0.683168317,thrimmed,sang,THREE,3.121710526,0.849287369,15,thrimmed,TRUE,thrimmed,TRUE
glilt,glill,0.673267327,glilled,burnt,THREE,3.369736842,1.02202671,16,glilled,TRUE,glilled,TRUE
vurnt,vurn,0.668316832,vurned,burnt,THREE,3.128666667,0.681669916,17,vurnt,FALSE,vurned,TRUE
nemt,neem,0.658415842,neemed,kept,THREE,3.392465753,1.132311771,18,nemt,FALSE,neemed,TRUE
klemt,kleem,0.653465347,kleemed,kept,THREE,3.196575342,0.830383478,19,klemt,FALSE,kleemed,TRUE
threlt,threll,0.653465347,threlled,burnt,THREE,3.177777778,0.883291256,20,threlt,FALSE,threlled,TRUE
nank,nink,0.646766169,ninked,sang,THREE,3.241558442,0.879009707,21,nank,FALSE,ninked,TRUE
blurnt,blurn,0.638613861,blurned,burnt,THREE,3.311486486,0.987058287,22,blurnt,FALSE,blurned,TRUE
pote,pite,0.628712871,pited,drove,THREE,3.267105263,1.017957191,23,pote,FALSE,pited,TRUE
squent,squeen,0.628712871,squeened,kept,THREE,3.094,0.699418678,24,squent,FALSE,squeened,TRUE
stram,strim,0.618811881,strimmed,sang,THREE,3.309090909,1.001338817,25,stram,FALSE,strimmed,TRUE
